"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"RS_5P180_DIN5_SOCKET_WSHIELD";1;"MIDI_OUT";;;
2;"J1";"RS_5P180_DIN5_SOCKET_WSHIELD";1;"MIDI_IN";;;
3;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Adafruit_1611_NPTH";16;"Adafruit_1611_NPTH";;;
4;"C6,C25,C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1uF";;;
5;"C7,C13,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
6;"C8,C11,C12,C17,C3,C9,C10,C20,C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100nF";;;
7;"C15,C16,C1,C2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"10uF 20V X5R";;;
8;"C18,C19,C4,C5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"22uF 10V X5R";;;
9;"D4,D5,D7,D6,D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"RED";;;
10;"J4";"IDC-Header_2x10_P2.54mm_Horizontal";1;"Conn_02x10_Odd_Even";;;
11;"J5";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
12;"J7";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
13;"J8";"2.42Inch_OLED_SSD1309";1;"Conn_01x07";;;
14;"L2,L1";"L_Taiyo-Yuden_NR-80xx_HandSoldering";2;"4.7uH";;;
15;"R1,R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"220R";;;
16;"R4,R10,R14,R18,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"4K7";;;
17;"R9,R27,R13,R32,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2K2";;;
18;"R21,R26,R29,R7,R28,R23,R24,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10K";;;
19;"R25,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"56K";;;
20;"TP2,TP6,TP7,TP8,TP52,TP53,TP54,TP55,TP9,TP10,TP11,TP13,TP15,TP16,TP21,TP22,TP23,TP32,TP33,TP34,TP35,TP36,TP37,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP38,TP50,TP4,TP5,TP60,TP19,TP58,TP56,TP51,TP14,TP17,TP57,TP20,TP12,TP59,TP18,TP1";"TestPoint_Pad_D1.0mm";51;"TestPoint";;;
21;"U33";"LQFP-32_7x7mm_P0.8mm";1;"STM32G0B1_KxTxN_LQFP32";;;
22;"U39,U38";"SOT-23-6";2;"TPS563200";;;
23;"U40";"SOT-23";1;"SE8233X2";;;
24;"U41";"SOT-223-3_TabPin2";1;"MCP1703A-3302_SOT223";;;
25;"U43";"SMDIP-8_W9.53mm";1;"6N135S";;;
26;"SW3";"Dailywell_SPDT";1;"SW_SPST";;;
27;"D1";"D_SOD-123F";1;"MMSZ4694T1G";;;
28;"Q1";"SOT-23";1;"Si2323DS";;;
29;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100R";;;
30;"TP3";"TestPoint_Pad_1.0x1.0mm";1;"TestPoint";;;
31;"U17,U1,U18,U2,U3,U19,U20,U4,U5,U21,U22,U6,U23,U7,U8,U24,U25,U9,U26,U10,U11,U27,U28,U12,U29,U13,U14,U30,U31,U32,U15,U16";"Circular_3mm_10mm_Cree_PLLC6_CLY6D-FKC-CK1N1D1BB7D3D3";32;"PCB-SPST_RGB-LED-Counter-Clockwise";;;
32;"U42";"SOT-23-5_HandSoldering";1;"74LVC1G34";;;
33;"SW5,SW9,SW10,SW8,SW6,SW4";"SW_PUSH-12mm";6;"SW_SPST";;;
34;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
35;"SW1";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
36;"U36,U37";"HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm";2;"TLC5955DCA_HTSSOP56";;;
37;"C22,C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7uF";;;
38;"D2";"D_SOD-123F";1;"1N4148";;;
39;"R11,R12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220R";;;
40;"U34";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias";1;"ADG2188";;;
41;"U35";"LFCSP-24-1EP_4x4mm_P0.5mm_EP2.3x2.3mm";1;"ADP5587-ACPZ_LFCSP24";;;
42;"JP2,JP3,JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";3;"Jumper_NC_Small";;;
